pub_date,pub_time,headline,url,section,source,snippet,byline,news_desk,material_type
2015-11-06,13:07:25,France to Temporarily Reinstate Border Checks Around Time of Climate Talks,https://www.nytimes.com/2015/11/07/world/europe/france-border-checks-climate-meeting.html,World,The New York Times,"The country cited security concerns for tightening controls for a month around the conference, which about 80 heads of government are expected to attend.",By Aurelien Breeden,Foreign,News
2015-11-12,20:47:58,France Says Climate Talks Must Produce Binding Deal,https://www.nytimes.com/2015/11/13/world/europe/any-paris-climate-deal-must-be-legally-binding-french-leader-says.html,World,The New York Times,"President François Hollande was responding to remarks by Secretary of State John Kerry, who said that any agreement reached at the climate conference was “not going to be a treaty.”",By Aurelien Breeden,Foreign,News
2015-11-26,18:18:16,"On High Alert Since Paris Attacks, French Gear Up for Climate Talks",https://www.nytimes.com/2015/11/27/world/europe/on-high-alert-since-paris-attacks-french-gear-up-for-climate-talks.html,World,The New York Times,"Security analysts say that since France has been locked down under a state of emergency since the Nov. 13 attacks, absorbing the extra burden may be easier.",By Adam Nossiter,Foreign,News
2015-11-28,11:40:01,Paris Climate Talks Avoid Scientists’ Idea of ‘Carbon Budget’,https://www.nytimes.com/2015/11/29/science/earth/paris-climate-talks-avoid-scientists-goal-of-carbon-budget.html,Science,The New York Times,"Nations have pointedly declined to take up a recommendation from scientists, made several years ago, that they set a cap on total greenhouse gases.",By Justin Gillis,Foreign,News
2015-11-30,10:06:53,"Citing Urgency, World Leaders Converge on France for Climate Talks",https://www.nytimes.com/2015/12/01/world/europe/obama-climate-conference-cop21.html,World,The New York Times,"“The United States of America not only recognizes our role in creating this problem, we embrace our responsibility to do something about it,” President Obama said at the gathering.",By Coral Davenport and Gardiner Harris,Foreign,News
2015-11-30,23:00:18,Climate Talks Begin in Paris,https://www.nytimes.com/video/world/asia/100000004066217/climate-talks-begin-in-paris.html,World,The New York Times,"World leaders met in Paris to discuss plans to combat global climate change. Meanwhile, air pollution levels in Beijing and New Delhi were much higher than acceptable.",By TURNER COWLES,Foreign,Video
2015-12-07,01:30:25,"At Paris Climate Talks, Top French Envoy Tries to Avoid Mistakes of Past Hosts",https://www.nytimes.com/2015/12/07/world/europe/at-paris-climate-talks-top-french-envoy-tries-to-avoid-mistakes-of-past-hosts.html,World,The New York Times,"Laurence Tubiana, France’s top climate change envoy, is deploying the full extent of her and her country’s charms in hopes of facilitating an accord.",By Coral Davenport,Foreign,News
2015-12-09,23:23:00,"As U.S. and Europe Pass the Hat at Climate Talks, China Clings to Developing-Nation Status",https://www.nytimes.com/2015/12/10/world/asia/as-us-and-europe-pass-the-hat-at-climate-talks-china-clings-to-developing-nation-status.html,World,The New York Times,"China still considers itself a developing country for purposes of climate negotiations, even as raising funds to help poorer countries remains a hurdle for the talks.",By Keith Bradsher and Coral Davenport,Foreign,News
2015-12-10,10:00:26,Delegates at Climate Talks Focus on Saving the World’s Forests,https://www.nytimes.com/2015/12/11/world/delegates-at-climate-talks-focus-on-saving-the-worlds-forests.html,Science,The New York Times,"If a deal is reached, nations — particularly tropical countries — will have agreed to sharp reductions in deforestation, and in some cases to ending it.",By Justin Gillis,Foreign,News
2015-12-11,01:12:29,Republicans Make Presence Felt at Climate Talks by Ignoring Them,https://www.nytimes.com/2015/12/11/world/europe/republicans-make-presence-felt-at-climate-talks-by-ignoring-them.html,World,The New York Times,The party’s unyielding approach in treating the climate talks as a waste of time has even sympathizers shaking their heads.,By Sewell Chan and Melissa Eddy,Foreign,News
2015-12-11,01:50:33,Key to Success of Climate Pact Will Be Its Signals to Global Markets,https://www.nytimes.com/2015/12/11/world/europe/key-to-success-of-climate-pact-will-be-its-signals-to-global-markets.html,World,The New York Times,Diplomats and policy experts say that a pact must convince companies and investors that traditional fossil fuels are less profitable.,By Coral Davenport,Foreign,News
2015-12-12,01:24:49,"Draft of Climate Pact Is Ready, U.N. Officials Say",https://www.nytimes.com/2015/12/12/world/europe/optimism-for-climate-deal-amid-divisions-between-rich-and-poor-nations.html,World,The New York Times,Officials said negotiators in Paris had agreed on new language for a pact that will be presented Saturday to diplomats from 195 nations.,By Coral Davenport,Foreign,News
2015-12-12,10:29:18,Nations Approve Landmark Climate Accord in Paris,https://www.nytimes.com/2015/12/13/world/europe/climate-change-accord-paris.html,World,The New York Times,"The deal, which required unanimous approval by delegates from around the world, will for the first time commit nearly every country to lowering greenhouse gas emissions.",By Coral Davenport,Foreign,News
2015-12-12,12:58:56,The Paris Climate Accord,https://www.nytimes.com/interactive/2015/12/12/science/document-final-cop21-draft.html,Science,The New York Times,A group of nations in Paris reached a landmark agreement to cut back planet-warming emissions of greenhouse gas.,,Science,Interactive Feature
2015-12-13,01:34:43,"Climate Accord Is a Healing Step, if Not a Cure",https://www.nytimes.com/2015/12/13/science/earth/climate-accord-is-a-healing-step-if-not-a-cure.html,Science,The New York Times,"By highlighting the gulf between humanity’s stated goals and its plans to achieve them, the climate deal may spur a more intensive worldwide push.",By Justin Gillis,Foreign,News Analysis
2015-12-16,01:14:37,San Diego Vows to Move Entirely to Renewable Energy in 20 Years,https://www.nytimes.com/2015/12/16/science/san-diego-vows-to-move-entirely-to-renewable-energy-in-20-years.html,Science,The New York Times,"With an ordinance passed on Tuesday, San Diego became the largest American city to make a legally binding commitment to transition to 100 percent renewable energy.",By Matt Richtel,National,News
2016-04-01,01:08:24,Obama and President Xi of China Vow to Sign Paris Climate Accord Promptly,https://www.nytimes.com/2016/04/01/world/asia/obama-and-president-xi-of-china-vow-to-sign-paris-climate-accord-promptly.html,World,The New York Times,"Officials cast the announcement as a statement of resolve by the world’s two largest greenhouse gas polluters, even though there are doubts about whether the United States can meet its obligations.",By Coral Davenport,Foreign,News
2016-07-23,15:31:25,A Sequel to the Paris Climate Accord Takes Shape in Vienna,https://www.nytimes.com/2016/07/24/world/europe/vienna-sequel-paris-climate-accord.html,World,The New York Times,"Negotiators from around the world are working toward a ban on hydrofluorocarbons, coolants that replaced ozone-depleting chemicals but brought global warming problems of their own.",By Coral Davenport,Foreign,News
2016-09-13,00:26:28,"With U.S. Election in Sight, Ban Ki-moon Seeks Quick Action on Climate Accord",https://www.nytimes.com/2016/09/13/world/americas/united-nations-trump-climate-accord.html,World,The New York Times,"Heeding a threat of withdrawal by Donald J. Trump, the secretary general wants at least 55 countries to commit to the pact for at least the next four years.",By Coral Davenport,Foreign,News
2016-10-12,09:00:30,Emerging Climate Accord Could Push A/C Out of Sweltering India’s Reach,https://www.nytimes.com/2016/10/13/world/asia/india-air-conditioning.html,World,The New York Times,A phaseout of hydrofluorocarbons could have a major effect on climate change but would make air-conditioning more expensive just as many Indians are becoming able to afford it.,By Ellen Barry and Coral Davenport,Foreign,News
2016-11-16,00:32:35,"At U.N. Meeting, Diplomats Worry Trump Could Cripple Climate Pact",https://www.nytimes.com/2016/11/16/world/united-nations-climate-change-trump.html,World,The New York Times,Some diplomats at the global warming summit meeting called for retaliation to compel American compliance with the Paris accord approved a year ago.,By Coral Davenport,Foreign,News
2017-01-02,10:00:27,Weak Federal Powers Could Limit Trump’s Climate-Policy Rollback,https://www.nytimes.com/2017/01/02/science/donald-trump-global-warming.html,Science,The New York Times,The renewable energy transition is well underway and will not be easily reversed. But the new president can still set back efforts to slow climate change.,By Justin Gillis,Science,News
2017-01-06,01:21:39,China Investing Billions in Renewable Energy,https://www.nytimes.com/video/world/asia/100000004855712/china-investing-billions-in-renewable-energy.html,World,The New York Times,The plan will create jobs and help decrease the smog blanketing many Chinese cities.,By NEETI UPADHYE,,Video
2017-01-06,01:22:35,China Aims to Spend at Least $360 Billion on Renewable Energy by 2020,https://www.nytimes.com/2017/01/05/world/asia/china-renewable-energy-investment.html,World,The New York Times,"China’s announcement was a bold claim on leadership in the renewable energy industry, where Chinese companies are already among the world’s dominant players.",By Michael Forsythe,Foreign,News
2017-05-10,01:55:50,European Union Exhorts U.S. to Continue U.N. Funding and Stand by Climate Pact,https://www.nytimes.com/2017/05/09/world/europe/united-nations-european-union-federica-mogherini.html,World,The New York Times,"The E.U.’s foreign policy chief, Federica Mogherini, spoke at a meeting of the United Nations Security Council.",By Somini Sengupta,Foreign,News
2017-05-12,00:16:48,"Tillerson, in Alaska, Gives No Hint on Paris Climate Accord",https://www.nytimes.com/2017/05/11/climate/rex-tillerson-arctic-council-climate-change.html,Climate,The New York Times,"At a meeting of the Arctic Council, the secretary of state was noncommittal when asked about the administration’s view on the landmark climate agreement.",By Henry Fountain,National,News
2017-05-16,22:01:15,‘Vulnerable Voices’ Lash Out as Companies Sway Climate Talks,https://www.nytimes.com/2017/05/16/climate/corporations-global-climate-talks-bonn-germany.html,Climate,The New York Times,"Developing nations and environmental groups condemned the presence of corporate lobbyists at a climate change talk session in Germany, but the United States defended it.",By Hiroko Tabuchi,Business,News
2017-05-31,17:06:09,Q. & A.: The Paris Climate Accord,https://www.nytimes.com/2017/05/31/climate/qa-the-paris-climate-accord.html,Climate,The New York Times,Here’s how the agreement works and what could happen if the United States leaves.,By Brad Plumer,Foreign,News
2017-06-01,17:55:27,The Paris Climate Deal: What You Need to Know,https://www.nytimes.com/2017/06/01/climate/paris-climate-change-guide.html,Climate,The New York Times,President Trump’s decision to exit the climate pact is a setback for the worldwide effort to combat global warming. Here’s a guide to what it means.,By Jonathan Ellis,Foreign,News
2017-06-01,19:43:22,What to Expect as U.S. Leaves Paris Climate Accord,https://www.nytimes.com/2017/06/01/climate/us-paris-accord-what-happens-next.html,Climate,The New York Times,Other nations will most likely continue to pursue clean energy policies while the United States is sidelined in international talks.,By Brad Plumer,Climate,News
2017-06-02,17:04:00,"India, Once a Coal Goliath, Is Fast Turning Green",https://www.nytimes.com/2017/06/02/world/asia/india-coal-green-energy-climate.html,World,The New York Times,"As the United States drops out of the Paris climate pact, New Delhi is canceling coal-fired power plants and investing heavily in renewable energy sources.",By Geeta Anand,Foreign,News
2017-06-04,17:21:33,Turning Against Trump: How the Chinese Covered the Climate Pact Exit,https://www.nytimes.com/2017/06/04/world/asia/china-media-climate-trump.html,World,The New York Times,The state-controlled news media seized the moment to cast doubt on American democracy and promote an image of China as a responsible superpower.,By Javier C. Hernández,Foreign,News
2017-06-07,00:59:45,"In Trump Country, Renewable Energy Is Thriving",https://www.nytimes.com/2017/06/06/climate/renewable-energy-push-is-strongest-in-the-reddest-states.html,Climate,The New York Times,"As the Trump administration digs in on coal and oil, numerous Republican-led states are investing in clean energy from the wind and the sun.",By Justin Gillis and Nadja Popovich,National,News
2017-06-07,16:48:45,"Defying Trump, Hawaii Becomes First State to Pass Law Committing to Paris Climate Accord",https://www.nytimes.com/2017/06/07/climate/hawaii-climate-paris-trump.html,Climate,The New York Times,"Hawaii is one of several states that have joined the U.S. Climate Alliance, a coalition committed to upholding the Paris agreement despite the federal government’s withdrawal.",By Jonah Engel Bromwich,National,News
2017-06-23,04:01:22,Xi Jinping Is Set for a Big Gamble With China’s Carbon Trading Market,https://www.nytimes.com/2017/06/23/world/asia/china-cap-trade-carbon-greenhouse.html,World,The New York Times,A carbon trading program is shaping up as a big policy retort to President Trump’s decision to quit the Paris accord. But getting local industries on board will be a challenge.,By Chris Buckley,Foreign,News
2017-08-04,19:09:18,U.S. to Join Climate Talks Despite Planned Withdrawal From Paris Accord,https://www.nytimes.com/2017/08/04/climate/us-to-join-climate-talks-despite-planned-withdrawal-from-paris-accord.html,Climate,The New York Times,"The White House notified the United Nations on Friday that it intends to withdraw from the Paris agreement, but the United States still plans take part in climate negotiations later this year.",By Lisa Friedman,Foreign,News
2017-09-18,15:29:39,Trump Adviser Tells Ministers U.S. Will Leave Paris Climate Accord,https://www.nytimes.com/2017/09/18/climate/trump-adviser-un-paris-climate-agreement.html,Climate,The New York Times,"Gary D. Cohn, the White House economic adviser, said at the United Nations that the Trump administration would pull out of the Paris deal unless it was revised.",By Lisa Friedman,Climate,News
2017-10-18,14:45:32,"New Talks on Paris Climate Pact Are Set, and That’s Awkward for U.S.",https://www.nytimes.com/2017/10/18/climate/trump-paris-accord.html,Climate,The New York Times,"International delegates will gather next month to discuss implementing the Paris agreement, and American negotiators will be there even though the United States has said it will quit the pact.",By Lisa Friedman,Climate,News
2017-11-02,18:37:49,Trump Team to Promote Fossil Fuels and Nuclear Power at Bonn Climate Talks,https://www.nytimes.com/2017/11/02/climate/trump-coal-cop23-bonn.html,Climate,The New York Times,The American position is likely to provoke strong reactions from attendees of the United Nations meeting that begins on Monday.,By Lisa Friedman,Climate,News
2017-11-07,13:45:42,"Syria Joins Paris Climate Accord, Leaving Only U.S. Opposed",https://www.nytimes.com/2017/11/07/climate/syria-joins-paris-agreement.html,Climate,The New York Times,Syria announced Tuesday it would sign the Paris agreement. Now the United States stands alone among nations on climate change.,By Lisa Friedman,Climate,News
2017-11-10,10:00:31,What’s at Stake in the Bonn Climate Talks?,https://www.nytimes.com/2017/11/10/climate/bonn-climate-change-conference.html,Climate,The New York Times,"The talks in Bonn, Germany, will play a significant role in the world’s response to climate change. But what, exactly, is going on? Here are some answers.",By Brad Plumer,Climate,News
2017-11-11,16:15:11,A Shadow Delegation Stalks the Official U.S. Team at Climate Talks,https://www.nytimes.com/2017/11/11/climate/un-climate-talks-bonn.html,Climate,The New York Times,"Al Gore, Jerry Brown and Michael R. Bloomberg are in Bonn, Germany, telling other countries that the United States is still serious about climate change.",By Lisa Friedman,Climate,News
2017-11-13,22:20:48,Protesters Jeer as Trump Team Promotes Coal at U.N. Climate Talks,https://www.nytimes.com/2017/11/13/climate/climate-coal-united-nations-bonn.html,Climate,The New York Times,"The Trump administration’s debut at the United Nations climate conference in Bonn, Germany, was met with heckling, noisy protest and harsh questions.",By Lisa Friedman and Brad Plumer,Climate,News
2017-11-15,19:26:45,"At U.N. Climate Conference, Treading Lightly Around the Americans",https://www.nytimes.com/2017/11/15/climate/bonn-climate-conference.html,Climate,The New York Times,Delegates at climate talks in Bonn are keeping their opinions to themselves about President Trump’s vow to withdraw from the Paris climate accord.,By Lisa Friedman and Brad Plumer,Climate,News
2017-11-18,05:47:39,What Happened (and Didn’t) at the Bonn Climate Talks,https://www.nytimes.com/2017/11/18/climate/bonn-climate-cop23.html,Climate,The New York Times,"The 23rd United Nations climate talks ended early Saturday, kicking most big issues down the road until 2018.",By Lisa Friedman and Brad Plumer,Climate,News
2017-11-18,14:33:10,"At Bonn Climate Talks, Stakes Get Higher in Gamble on Planet’s Future",https://www.nytimes.com/2017/11/18/climate/un-bonn-climate-talks.html,Climate,The New York Times,"This year’s United Nations climate talks have wrapped up, and there were few signs that countries are inclined to take urgent action.",By Brad Plumer,Climate,An Analysis
2017-11-22,10:00:15,"Earning Trust in Climate Talks: On the World Stage, and at Your Holiday Table",https://www.nytimes.com/2017/11/22/climate/climate-fwd-trust-in-america-and-thankgiving-conversations.html,Climate,The New York Times,"In this week's newsletter, we look at whether the world is losing faith in America. Plus, how to talk about climate change at Thanksgiving dinner.","By Livia Albeck-Ripka, Lisa Friedman and Brad Plumer",Climate,News
2017-12-07,23:13:13,Renewable Energy Is Surging. The G.O.P. Tax Bill Could Curtail That.,https://www.nytimes.com/2017/12/07/climate/tax-overhaul-energy-wind-solar.html,Climate,The New York Times,The tax bills moving through Congress could hobble the United States’ renewable energy industry because of provisions that scale back incentives for wind and solar power.,By Brad Plumer and Jim Tankersley,Washington,News
2018-02-23,00:45:31,Former Trump Aide Calls Paris Climate Accord ‘a Good Republican Agreement’,https://www.nytimes.com/2018/02/22/climate/george-david-banks.html,Climate,The New York Times,"In an interview, George David Banks, who stepped down recently, said he also believed Mr. Trump might still be willing to remain in the global climate pact.",By Lisa Friedman,Climate,News
2018-09-13,22:34:45,Protesters Have Their Day at California Climate Talks ,https://www.nytimes.com/2018/09/13/climate/california-climate-summit-protests.html,Climate,The New York Times,"Gov. Jerry Brown spearheaded the conference, but the demonstrators outside called on him to stop oil drilling in the state.",By Somini Sengupta,Climate,News
2018-10-08,23:16:20,New U.N. Climate Report Says Put a High Price on Carbon,https://www.nytimes.com/2018/10/08/climate/carbon-tax-united-nations-report-nordhaus.html,Climate,The New York Times,Most nations don't tax carbon. Those that do tax emissions have not set carbon prices high enough to bring deep reductions in carbon pollution.,By Brad Plumer,Climate,News
2018-12-04,17:15:52,"COP24, the New Round of Global Climate Talks, Has Begun. We Answer Three Key Questions.",https://www.nytimes.com/2018/12/04/climate/cop24-climate-conference-katowice.html,Climate,The New York Times,Negotiators from nearly 200 countries are gathering in Poland over the next two weeks to try to put global climate negotiations back on track.,By Brad Plumer,Climate,News
2018-12-10,19:54:06,"Trump Team Pushes Fossil Fuels at Climate Talks. Protests Erupt, but Allies Emerge, Too.",https://www.nytimes.com/2018/12/10/climate/katowice-climate-talks-cop24.html,Climate,The New York Times,"While the official United States stance brought scorn from environmentalists, there are signs that the administration is picking up some powerful allies.",By Brad Plumer and Lisa Friedman,Climate,News
2019-05-02,16:33:47,"Staking Out Battle Lines, House Votes to Keep U.S. in Paris Climate Pact",https://www.nytimes.com/2019/05/02/climate/congress-paris-climate-agreement.html,Climate,The New York Times,The House passed a bill on Thursday that would block President Trump from quitting the Paris Agreement on climate change.,By Lisa Friedman,Climate,News
2019-07-29,16:11:41,Greta Thunberg to Attend New York Climate Talks. She’ll Take a Sailboat.,https://www.nytimes.com/2019/07/29/climate/greta-thunberg-sailing-climate-summit.html,Climate,The New York Times,The 16-year-old Swedish climate activist will cross the Atlantic in an open-cockpit racing yacht to attend a United Nations summit meeting on global warming.,By Lisa Friedman,Climate,News
2019-08-13,20:24:57,Greta Thunberg Sets Sail for U.N. Climate Talks,https://www.nytimes.com/2019/08/13/climate/greta-thunberg-sailing.html,Climate,The New York Times,The 16-year-old climate activist is crossing the Atlantic to attend a United Nations climate summit. She refuses to fly because aviation has such an enormous carbon footprint. ,By Somini Sengupta,Climate,News
2019-10-23,17:42:06,Trump Administration to Begin Official Withdrawal From Paris Climate Accord,https://www.nytimes.com/2019/10/23/climate/trump-paris-climate-accord.html,Climate,The New York Times,"President Trump is preparing to formally withdraw the United States from the Paris climate accord, beginning a yearlong countdown removing the world's largest economy from the landmark agreement.",By Lisa Friedman,Climate,News
2019-10-31,16:36:28,Spain Agrees to Host Key Climate Talks After Chile Pulls Out,https://www.nytimes.com/2019/10/31/climate/spain-chile-cop25-climate-meeting.html,Climate,The New York Times,"Madrid has offered to hold the next United Nations climate talks, the leaders of Spain and Chile announced on Thursday. ",By Somini Sengupta,Climate,News
2019-11-12,23:00:09,"Greta Thunberg Sets Sail, Again, After Climate Talks Relocate",https://www.nytimes.com/2019/11/12/climate/greta-thunberg-return-europe.html,Climate,The New York Times,"Ms. Thunberg, who doesn’t fly, found herself suddenly needing a ride across the Atlantic  when United Nations climate talks were moved on short notice.",By Somini Sengupta,Climate,News
2019-11-26,08:00:08,‘Bleak’ U.N. Report on a Planet in Peril Looms Over New Climate Talks,https://www.nytimes.com/2019/11/26/climate/greenhouse-gas-emissions-carbon.html,Climate,The New York Times,"Countries  agreed to rein in emissions in an effort to avert climate catastrophes. They've failed, according to the latest United Nations report.",By Somini Sengupta,Climate,News
2019-12-14,16:31:43,"As U.N. Climate Talks Go to Overtime, a Battle for the ‘Spirit’ of the Paris Pact",https://www.nytimes.com/2019/12/14/climate/COP25-madrid-climate-talks.html,Climate,The New York Times,"World leaders meeting in Madrid remained at loggerheads on Saturday about whether they could commit, just on paper, to raise voluntary climate targets next year.",By Somini Sengupta,Climate,News
2019-12-15,15:44:38,U.N. Climate Talks End With Few Commitments and a ‘Lost’ Opportunity,https://www.nytimes.com/2019/12/15/climate/cop25-un-climate-talks-madrid.html,Climate,The New York Times,A key United Nations meeting ended early Sunday  with the United States and other big polluters blocking even a nonbinding effort to enhance their climate targets next year.,By Somini Sengupta,Climate,News
2020-04-01,20:33:52,Coronavirus Delays Key Global Climate Talks,https://www.nytimes.com/2020/04/01/climate/cop-climate-glasgow-coronavirus.html,Climate,The New York Times,"This year’s United Nations-sponsored climate talks, widely regarded as the most important climate meeting of the last four years, were postponed because of the coronavirus pandemic.",By Somini Sengupta,Climate,News
2020-05-13,19:54:28,"In a First, Renewable Energy Is Poised to Eclipse Coal in U.S.",https://www.nytimes.com/2020/05/13/climate/coronavirus-coal-electricity-renewables.html,Climate,The New York Times,"The coronavirus has pushed the coal industry to once-unthinkable lows, and the consequences for climate change are big.",By Brad Plumer,Climate,News
2020-05-26,22:08:39,"Britain, Host of U.N. Climate Talks, Proposes Full-Year Pandemic Delay",https://www.nytimes.com/2020/05/26/climate/cop26-climate-talks.html,Climate,The New York Times,"The postponement, expected to be approved, could result in national recovery plans with high environmental costs, some diplomats say.",By Somini Sengupta,Climate,News
2020-11-04,19:38:12,The U.S. Left the Paris Climate Pact. Allies and Rivals Are Pressing Ahead.,https://www.nytimes.com/2020/11/04/climate/paris-agreement-us-election.html,Climate,The New York Times,"The American exit officially took effect Wednesday. If Joseph R. Biden Jr. wins the election and rejoins the pact, the United States will have a lot of catching up to do.",By Lisa Friedman and Somini Sengupta,Climate,News
2021-01-18,23:14:30,Can the World Break Up With Fossil Fuels? Watch the Conversation.,https://www.nytimes.com/2021/01/18/climate/live-event-netting-zero-fossil-fuel.html,Climate,The New York Times,The Times is hosting a series of virtual events ahead of global climate talks in November. This month’s topic: the demand for energy and what can be learned from the pandemic.,By The New York Times,Climate,News
2021-02-19,15:19:31,U.S. formally rejoins the Paris climate accord.,https://www.nytimes.com/2021/02/19/world/us-rejoins-paris-climate-accord.html,World,The New York Times,,By Elian Peltier and Somini Sengupta,Foreign,News
2021-05-26,16:04:08,A renewable energy ‘breakthrough’,https://www.nytimes.com/2021/05/26/climate/california-wind-farms.html,Climate,The New York Times,The Biden administration has opened up California’s coast to wind farms.,,Climate,News
2021-08-09,17:52:00,5 takeaways from the major new U.N. climate report.,https://www.nytimes.com/2021/08/09/climate/un-climate-report-takeaways.html,Climate,The New York Times,"The IPCC concluded that the world cannot avoid some devastating impacts of climate change, but that there is still a narrow window to keep the devastation from getting even worse.",By Henry Fountain,Climate,News
2021-09-07,14:11:41,A global network of activists calls for November U.N. climate talks to be postponed over pandemic concerns.,https://www.nytimes.com/2021/09/07/world/un-climate-talks-pandemic.html,World,The New York Times,"The Climate Action Network said coronavirus conditions would mean many representatives would not be able to attend the annual conference, set this year for Scotland.",By Shashank Bengali,Foreign,News
2021-09-23,20:33:01,The State of International Climate Talks,https://www.nytimes.com/interactive/2021/09/23/climate/climate-change-unga.html,Climate,The New York Times,Climate change is one of the most important subjects at the meeting of the United Nations General Assembly.,By Somini Sengupta,Climate,Interactive Feature
2021-10-30,19:00:09,The COP26 Climate Talks Are Opening. Here’s What to Expect.,https://www.nytimes.com/2021/10/30/climate/climate-summit-glasgow.html,Climate,The New York Times,"Some fundamental differences, including over money, divide the leaders heading to Glasgow. The outcome will determine, to a large extent, how humanity will survive on a hotter planet.",By Somini Sengupta,Climate,News
2021-11-01,18:18:02,Narendra Modi says India will sharply increase renewable energy.,https://www.nytimes.com/2021/11/01/world/asia/modi-india-cop26-renewable-energy.html,World,The New York Times,"Wealthy nations need to spend $1 trillion to help developing nations like India make the transition to renewables, Prime Minister Modi said.",By Somini Sengupta,Climate,News
2021-11-02,22:05:46,What It’s Like to Cover Global Climate Talks,https://www.nytimes.com/interactive/2021/11/02/climate/cop26-behind-the-scenes.html,Climate,The New York Times,"A look inside COP26, the global climate summit happening in Scotland. ",By Lisa Friedman,Climate,Interactive Feature
2021-11-03,07:06:06,South Africa secured $8.5 billion to transition away from coal. It’ll be a test case.,https://www.nytimes.com/2021/11/03/world/africa/south-africa-coal-renewables.html,World,The New York Times,Developing nations have long said they need aid from wealthy countries to shift to renewable energy. South Africa may show how that would work in practice.,By Brad Plumer,Climate,News
2021-11-03,13:48:32,A protest outside the main summit venue calls out ‘greenwashing’ by big companies.,https://www.nytimes.com/2021/11/03/world/europe/cop26-greenwashing-protest.html,World,The New York Times,"As the focus of the Glasgow summit turns to funding, protesters call for greater accountability for companies’ climate promises.",By Jenny Gross,Foreign,News
2021-11-04,18:22:08,Greta Thunberg Says Climate Talks Are Becoming a ‘Greenwash Campaign’,https://www.nytimes.com/2021/11/04/climate/greta-thunberg-cop26.html,Climate,The New York Times,Ms. Thunberg and other activists also spoke about the critical role that young women have played in pressuring world leaders to take action on climate change.,By Jenny Gross,Climate,News
